listing_uid,first_seen,last_seen,title,make,model,year,price,km,fuel,transmission,power_kw,body_type,color
fdeeb06450ff11ef,2026-03-27T10:24:15.575864,2026-03-27T10:24:15.575864,Opel Tigra - TwinTop 1.8-16V COSMO // LEDER // AIRCO,Opel,Tigra,2005,3950,151829,Benzine,Handgeschakeld,93,Cabriolet,Grijs
58f8557fd36e3f96,2026-03-27T10:25:33.621911,2026-05-14T06:01:54.356628,Renault Twingo - 1.2-16V Dynamique airco dubbele achterstoel ALLINPRIJS,Renault,Twingo,2007,3750,94729,Benzine,Handgeschakeld,56,Hatchback,Zwart
2dd0bf0cff538523,2026-03-27T10:25:33.622413,2026-05-14T06:01:54.373716,Renault Modus - 1.4-16V Privilège Luxe,Renault,Modus,2005,3750,95199,Benzine,Handgeschakeld,72,MPV,Zwart
ca08a2d2399b8c9a,2026-03-27T10:25:33.622824,2026-04-16T06:01:55.366709,Citroën DS3 - Cruise Control | Parkeersensoren | Mistlampen | Radio & CD-s,Citroën,DS3,2014,4000,129089,Benzine,Handgeschakeld,60,Hatchback,Grijs
a4246caf32164f3b,2026-03-27T10:25:33.623206,2026-04-20T06:01:55.700660,Citroën C3 - 1.4 VTi Dynamique,Citroën,C3,2010,3750,157350,Benzine,Handgeschakeld,72,Hatchback,Grijs
f49f477bd980e080,2026-03-27T10:25:33.623573,2026-03-28T19:23:09.493022,Citroën C2 - 1.6i-16V VTR|Automaat|Trekhaak|Cruise,Citroën,C2,2007,3850,139291,Benzine,Automaat,80,Hatchback,Zwart
d8045ef0f21c34e1,2026-03-27T10:25:33.624279,2026-03-28T19:23:09.494512,Renault Twingo - 1.2-16V Dynamique,Renault,Twingo,2010,3950,151553,Benzine,Automaat,56,Hatchback,Blauw
a7e33627824e55e7,2026-03-27T10:25:33.624638,2026-03-27T10:25:33.624638,Citroën C4 Picasso - 1.6 VTI HOGE INSTAP 136.980 KM DEALER ONDERHOUD,Citroën,C4,2009,3748,136980,Benzine,Handgeschakeld,88,MPV,Bruin
e77dfcee4ef7473b,2026-03-27T10:25:33.625005,2026-05-14T06:01:54.362422,Peugeot 107 - 1.0-12V XR | Airco | 5-deurs | Inclusief 6 maanden garantie,Peugeot,107,2012,3950,142930,Benzine,Handgeschakeld,50,Hatchback,Zwart
52f048266fd11a41,2026-03-27T10:25:33.625360,2026-03-28T19:23:09.502023,Peugeot 107 - 1.0 68PK 3D Access Pack Accent AIRCO | Bluetooth bellen | Af,Peugeot,107,2012,3800,122848,Benzine,Handgeschakeld,50,Hatchback,Blauw
